name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox
"microcline,maximum",Max-Mc,K(AlSi3)O8,cr,HDNB78 [S92],NA,5.May.78,cal,-895374,-949188,51.13,NA,108.741,63.83,12.9,-17.05,0,0,0,0,1400,,,"-1.0000 microcline,maximum -4.0000 H+ 1.0000 Al+3 1.0000 K+ 2.0000 H2O 3.0000 SiO2",polymorph,K+ Al+3 3Si+4 8O-2
minnesotaite,Mnn,Fe3Si4O10(OH)2,cr,1,21,8.Mar.17,cal,-1070057,-1153381,83.5,NA,147.86,88.31,42.61,-11.15,0,0,0,0,800,,,-1.0000 minnesotaite 3.0000 Fe+2 4.0000 SiO2 -6.0000 H+ 4.0000 H2O,,3Fe+2 4Si+4 2H+ 12O-2
monticellite,Mtc,CaMgSiO4,cr,HDNB78 [S92],NA,5.May.78,cal,-512829,-540800,26.4,NA,51.47,36.82,5.34,-8,0,0,0,0,1400,,,-1.0000 monticellite -4.0000 H+ 1.0000 Ca+2 1.0000 Mg+2 1.0000 SiO2 2.0000 H2O,,Si+4 Ca+2 Mg+2 4O-2
muscovite,Ms,KAl2(AlSi3)O10(OH)2,cr,HDNB78 [S92],NA,5.May.78,cal,-1336301,-1427408,68.8,NA,140.71,97.56,26.38,-25.44,0,0,0,0,1000,,,-1.0000 muscovite -10.0000 H+ 1.0000 K+ 3.0000 Al+3 3.0000 SiO2 6.0000 H2O,idealized,K+ 3Al+3 3Si+4 2H+ 12O-2
nepheline,Ne,Na(AlSi)O4,cr,HDNB78 [S92],NA,5.May.78,cal,-472872,-500241,29.72,NA,54.16,35.908062,6.457918,-7.327965,0,0,0,0,1500,,,-1.0000 nepheline -4.0000 H+ 1.0000 Al+3 1.0000 Na+ 1.0000 SiO2 2.0000 H2O,idealized,Na+ Al+3 Si+4 4O-2
nesquehonite,Nsh,MgCO3*3H2O,cr,HDNB78 [S92],NA,5.May.78,cal,-412035,-472576,46.76,NA,74.79,-1574.804,3899.173,-417.325,0,0,0,0,306.5,,,-1.0000 nesquehonite -1.0000 H+ 1.0000 HCO3- 1.0000 Mg+2 3.0000 H2O,,C+4 6H+ Mg+2 6O-2
nickel,Ni,Ni,cr,HDNB78 [S92],NA,5.May.78,cal,0,0,7.14,NA,6.588,4.06,7.04,0,0,0,0,0,633,,,-1.0000 nickel -2.0000 H+ -0.5000 O2(g) 1.0000 H2O 1.0000 Ni+2,refstate,Ni 
paragonite,Pg,NaAl2(AlSi3)O10(OH)2,cr,HDNB78 [S92],NA,5.May.78,cal,-1326012,-1416963,66.4,NA,132.53,97.43,24.5,-26.44,0,0,0,0,1000,,,-1.0000 paragonite -10.0000 H+ 1.0000 Na+ 3.0000 Al+3 3.0000 SiO2 6.0000 H2O,,Na+ 3Al+3 3Si+4 2H+ 12O-2
pargasite,Prg,Na(Ca2Mg4Al)(Al2Si6)O22(OH)2,cr,HDNB78 [S92],SPRONS92.2,15.Mar.90,cal,-2846728,-3016624,160,NA,273.5,205.8,41.66,-50.21,0,0,0,0,1000,,,-1.0000 pargasite -22.0000 H+ 1.0000 Na+ 2.0000 Ca+2 3.0000 Al+3 4.0000 Mg+2 6.0000 SiO2 12.0000 H2O,idealized,Na+ 2Ca+2 4Mg+2 3Al+3 6Si+4 2H+ 24O-2
periclase,Per,MgO,cr,HDNB78 [S92],NA,5.May.78,cal,-136086,-143800,6.44,NA,11.248,10.18,1.74,-1.48,0,0,0,0,2100,,,-1.0000 periclase -2.0000 H+ 1.0000 H2O 1.0000 Mg+2,,Mg+2 O-2
perovskite,CaTiO3,CaTiO3,cr,supedit,NA,19.MAY.93,cal,-376495,-396900,22.38,NA,33.626,28.3102,3.4925,-4.9032,0,0,0,0,1530,,,-1.0000 perovskite 1.0000 Ca+2 1.0000 Ti+4 -6.0000 H+ 3.0000 H2O,,Ca+2 Ti+4 3O-2
phlogopite,Phl,KMg3(AlSi3)O10(OH)2,cr,HDNB78 [S92],NA,5.May.78,cal,-1396187,-1488067,76.1,NA,149.66,100.61,28.78,-21.5,0,0,0,0,1000,,,-1.0000 phlogopite -10.0000 H+ 1.0000 Al+3 1.0000 K+ 3.0000 Mg+2 3.0000 SiO2 6.0000 H2O,idealized,K+ 3Mg+2 Al+3 3Si+4 2H+ 12O-2
potassium-oxide,K-Ox,K2O,cr,1,,5.May.78,cal,-77056,-86800,22.5,NA,40.38,18.51,8.65,-0.88,0,0,0,0,1100,,,-1.0000 potassium-oxide 2.0000 K+ -2.0000 H+ 1.0000 H2O,,2K+ O-2
prehnite,Prh,Ca2Al2Si3O10(OH)2,cr,HDNB78 [S92],SPRONS92.2,15.Mar.90,cal,-1390097,-1481649,65,NA,140.33,91.6,37.82,-19.6,0,0,0,0,848,,,-1.0000 prehnite -10.0000 H+ 2.0000 Al+3 2.0000 Ca+2 3.0000 SiO2 6.0000 H2O,,2Ca+2 2Al+3 3Si+4 2H+ 12O-2
pyrite,Py,FeS2,cr,HDNB78 [S92],NA,5.May.78,cal,-38293,-41000,12.65,NA,23.94,17.88,1.32,-3.05,0,0,0,0,1000,,,-1.0000 pyrite -1.0000 H2O 0.5000 O2(g) 1.0000 Fe+2 2.0000 HS-,,Fe+2 2S-
pyrophyllite,Prl,Al2Si4O10(OH)2,cr,HDNB78 [S92],NA,5.May.78,cal,-1255997,-1345313,57.2,NA,126.6,79.432,39.214,-17.282,0,0,0,0,800,,,-1.0000 pyrophyllite -6.0000 H+ 2.0000 Al+3 4.0000 H2O 4.0000 SiO2,,2Al+3 4Si+4 2H+ 12O-2
pyrrhotite,Po,FeS,cr,HDNB78 [S92],NA,5.May.78,cal,-24084,-24000,14.41,NA,18.2,5.19,26.4,0,0,0,0,0,411,,,-1.0000 pyrrhotite -1.0000 H+ 1.0000 Fe+2 1.0000 HS-,idealized,Fe+2 S-2
quartz,Qtz,SiO2,cr,HDNB78 [S92],NA,5.May.78,cal,-204646,-217650,9.88,NA,22.688,11.22,8.2,-2.7,0,0,0,0,848,,,-1.0000 quartz 1.0000 SiO2,polymorph,Si+4 2O-2
rhodochrosite,Rds,MnCO3,cr,HDNB78 [S92],NA,5.May.78,cal,-195045,-212521,23.9,NA,31.075,21.99,9.3,-4.69,0,0,0,0,700,,,-1.0000 rhodochrosite -1.0000 H+ 1.0000 HCO3- 1.0000 Mn+2,,Mn+2 C+4 3O-2
rutile,TiO2,TiO2,cr,7,9,31.MAR.92,cal,-212883,-226101,12.02,NA,18.82,15.01442,2.720501,-2.365364,0,0,0,0,1800,,,-1.0000 rutile 1.0000 Ti+4 -4.0000 H+ 2.0000 H2O,,Ti+4 2O-2
"sanidine,high",Hi-Sa,K(AlSi3)O8,cr,HDNB78 [S92],NA,5.May.78,cal,-893738,-946538,54.53,NA,109.008,63.83,12.9,-17.05,0,0,0,0,1400,,,"-1.0000 sanidine,high -4.0000 H+ 1.0000 Al+3 1.0000 K+ 2.0000 H2O 3.0000 SiO2",polymorph,K+ Al+3 3Si+4 8O-2
sepiolite,Sep,Mg4Si6O15(OH)2(H2O)2*4H2O,cr,HDNB78 [S92],NA,5.May.78,cal,-2211192,-2418000,146.6,NA,285.6,157.92,104.3,-18.68,0,0,0,0,800,,,-1.0000 sepiolite -8.0000 H+ 4.0000 Mg+2 6.0000 SiO2 11.0000 H2O,,6Si+4 14H+ 4Mg+2 23O-2
siderite,Sd,FeCO3,cr,HDNB78 [S92],Hel85 [S92],5.May.78,cal,-162414,-179173,25.1,NA,29.378,11.63,26.8,0,0,0,0,0,885,,,-1.0000 siderite -1.0000 H+ 1.0000 Fe+2 1.0000 HCO3-,,Fe+2 C+4 3O-2
sillimanite,Sil,Al2SiO5,cr,HDNB78 [S92],NA,5.May.78,cal,-580091,-615099,23.13,NA,49.9,40.023988,7.390511,-11.674053,0,0,0,0,1200,,,-1.0000 sillimanite -6.0000 H+ 1.0000 SiO2 2.0000 Al+3 3.0000 H2O,polymorph,2Al+3 Si+4 5O-2
smithsonite,Smt,ZnCO3,cr,HDNB78 [S92],NA,5.May.78,cal,-174850,-194260,19.7,NA,28.275,9.3,33,0,0,0,0,0,780,,,-1.0000 smithsonite -1.0000 H+ 1.0000 HCO3- 1.0000 Zn+2,,Zn+2 C+4 3O-2
sodium-oxide,Na-Ox,Na2O,cr,1,NA,5.May.78,cal,-89883,-99140,17.935,NA,25,18.25,4.89,-2.89,0,0,0,0,1000,,,-1.0000 sodium-oxide 2.0000 Na+ -2.0000 H+ 1.0000 H2O,,2Na+ O-2
sphalerite,Sp,ZnS,cr,HDNB78 [S92],NA,5.May.78,cal,-47947,-49000,14.019,NA,23.83,11.77,1.26,-1.16,0,0,0,0,1300,,,-1.0000 sphalerite -1.0000 H+ 1.0000 HS- 1.0000 Zn+2,idealized,Zn+2 S-2
spinel,Spn,MgAl2O4,cr,HDNB78 [S92],NA,5.May.78,cal,-517006,-546847,19.27,NA,39.71,36.772808,6.415456,-9.708792,0,0,0,0,2000,,,-1.0000 spinel -8.0000 H+ 1.0000 Mg+2 2.0000 Al+3 4.0000 H2O,,2Al+3 Mg+2 4O-2
strontianite,Str,SrCO3,cr,HDNB78 [S92],NA,5.May.78,cal,-275470,-294600,23.2,NA,39.01,23.52,6.32,-5.08,0,0,0,0,1197,,,-1.0000 strontianite -1.0000 H+ 1.0000 HCO3- 1.0000 Sr+2,,Sr+2 C+4 3O-2
sulfur,S,S,cr,G13A,NA,12.Jun.98,cal,0,0,7.6,NA,15.61,3.58,6.24,0,0,0,0,0,368.6,,,-1.0000 sulfur 1.0000 HS- 1.0000 H+ 0.5000 O2(g) -1.0000 H2O,,S
sylvite,Sy,KCl,cr,HDNB78 [S92],NA,5.May.78,cal,-97735,-104370,19.73,NA,37.524,9.89,5.2,0.77,0,0,0,0,1043,,,-1.0000 sylvite 1.0000 Cl- 1.0000 K+,,K+ Cl-
talc,Tcl,Mg3Si4O10(OH)2,cr,HDNB78 [S92],NA,5.May.78,cal,-1320188,-1410920,62.34,NA,136.25,82.482,41.614,-13.342,0,0,0,0,800,,,-1.0000 talc -6.0000 H+ 3.0000 Mg+2 4.0000 H2O 4.0000 SiO2,,4Si+4 2H+ 3Mg+2 12O-2
tenorite,Tn,CuO,cr,HDNB78 [S92],NA,5.May.78,cal,-30568,-37200,10.18,NA,12.22,11.53,1.88,-1.76,0,0,0,0,1600,,,-1.0000 tenorite -2.0000 H+ 1.0000 Cu+2 1.0000 H2O,,Cu+2 O-2
